"","train.X.V.","predict_trainNN"
"320",14.071,13.6605948071975
"463",14.954,17.7740037912902
"290",29.611,30.3496697137603
"333",11.17,10.6516625568794
"263",13.523,14.7066486461546
"349",7.5748,7.23299729467886
"55",14.895,14.9438165148669
"201",18.772,18.6036194887676
"407",23.853,22.1972656710167
"38",6.5617,5.2229096982785
"345",6.792,8.02023633612868
"354",20.591,20.2867859531695
"106",22.85,22.9038461155652
"40",20.239,20.6721940899785
"162",16.886,17.2669130595917
"357",19.702,19.1982343704934
"342",8.2522,8.65173855106245
"221",9.9852,10.9129928658158
"132",31.144,29.6998166513604
"294",28.655,29.4121207063567
"412",22.036,20.5218244216837
"15",13.41,13.0540085142637
"155",30.38,24.0148488631587
"26",9.7491,9.5521100421122
"454",19.865,20.0713348184378
"358",19.357,18.8348596430623
"136",30.076,28.4531060089323
"200",18.973,18.9543115178212
"462",15.162,18.0331649559193
"274",40.066,34.3934393230766
"209",15.467,15.6261680108163
"27",9.211,9.20050045124887
"181",11.75,10.6163056812234
"91",30.794,29.5425213466388
"356",20.099,19.5638229981877
"10",14.982,14.46178543335
"419",18.754,18.1571679568694
"34",6.3024,6.69229688219033
"389",18.019,9.84294726852349
"69",8.7898,9.00639356879253
"423",15.62,16.8379917346486
"153",22.931,24.3650602792055
"394",24.967,25.9794416455003
"249",17.782,17.4448266729594
"177",12.739,12.0499901863735
"306",24.501,26.8873447989242
"373",12.128,13.8390663441741
"257",16.29,15.7000074766497
"287",30.005,31.0889135777946
"109",20.752,21.7090141477335
"108",21.783,22.0944920043985
"198",19.585,19.6208257563666
"467",19.303,16.6941823272795
"210",14.944,15.2283995289952
"452",20.609,20.5450655089476
"158",17.704,18.6392875029429
"315",14.742,14.8753118355572
"50",16.984,17.0158605385843
"415",20.988,19.499775919559
"63",10.888,11.4898962743656
"53",15.674,15.7837865438102
"120",32.936,33.7105659330167
"284",30.57,31.8483091345562
"426",14.942,15.8872865872332
"309",27.834,26.3099235480933
"166",15.989,15.8818952564357
"102",25.882,24.6178569653441
"143",27.337,26.5148473012284
"456",18.646,19.5822137535564
"7",15.701,15.2570621375651
"355",20.577,19.9172967833559
"196",19.74,20.2574039992372
"29",8.2851,8.49963596217249
"31",6.9871,7.78615491312636
"11",14.761,14.1955118577025
"161",17.063,17.6163763070055
"279",31.493,33.1301888441373
"343",7.9693,8.44383070073368
"411",22.364,20.8659793710126
"58",13.323,13.6516034711771
"350",8.3277,7.0474894678345
"388",11.644,10.037578762825
"439",23.317,23.0961956412026
"116",19.785,19.1888024122856
"203",17.903,17.8958119920664
"283",30.8,32.0977525022601
"178",12.371,11.6893358625935
"179",12.181,11.327744213927
"174",13.915,13.1118058794058
"97",28.333,26.843862572168
"398",25.695,24.9505832321738
"100",26.357,25.4961861936544
"296",27.962,28.9546019237323
"280",31.209,32.8696725104376
"352",21.592,21.016520593965
"271",14.453,13.9061878188136
"225",8.9511,9.44860617641588
"435",23.505,23.6331644278371
"66",9.7609,10.2203503372184
"310",29.804,26.1236234261751
"48",17.657,17.8023993699864
"150",23.691,24.9368298264043
"252",17.654,16.7567601744185
"33",6.33,7.04900626689482
"433",23.366,23.8469788592613
"230",7.3045,7.83492912705114
"371",13.321,14.4507207391149
"135",30.486,28.7626146241603
"396",25.498,25.4821704676142
"114",18.421,19.8532779374398
"71",9.7555,8.24629060182387
"68",8.8391,9.40838741482751
"159",17.518,18.3024767994644
"164",16.723,16.5814910317205
"303",25.403,27.4812218764333
"376",11.178,12.9563045838342
"424",14.98,16.5256165606108
"6",15.531,15.5174827589404
"402",24.971,23.783711287269
"430",23.429,24.1032104402375
"224",9.1029,9.80655292420602
"347",6.6493,7.61884853005424
"405",24.132,22.8438986793067
"361",18.084,17.7731977871189
"293",28.887,29.6370829658866
"115",18.915,19.5187847098988
"414",21.1,19.8448407472906
"410",22.996,21.1955933305505
"73",8.0753,7.53024462677215
"418",19.316,18.4837715994425
"428",14.324,15.2796675979903
"319",14.275,13.8940982768565
"82",30.893,33.2999044930806
"239",19.861,19.8806899657845
"194",8.1021,6.06665275315745
"72",9.0715,7.87527373667267
"208",15.946,16.0206365891871
"74",7.9365,7.18451569272285
"110",20.124,21.3165571930127
"264",12.916,14.5707815077154
"299",27.273,28.310826792015
"403",24.778,23.4840994385657
"95",28.981,27.7421230240685
"446",23.666,21.8587001696136
"127",31.179,31.3547155613304
"157",17.627,18.9900255868342
"204",17.496,17.5255164987116
"425",15.26,16.2044616438967
"241",19.287,19.3927466814369
"302",25.844,27.6864438930579
"459",16.791,18.8193192425977
"455",19.297,19.8333563413852
"77",8.2936,6.24969861038625
"19",12.38,11.8491236582382
"216",12.256,12.856764502235
"47",18.188,18.1931425284086
"123",31.505,32.7104253867898
"32",6.3824,7.41856584713762
"211",14.46,14.8434052236966
"453",20.318,20.314907497634
"232",6.7587,7.27021331193982
"421",17.243,17.4980460538329
"251",18.059,16.9789396804926
"28",8.5887,8.8449457094128
"427",14.046,15.5838259780101
"191",6.1766,7.07551746319257
"367",15.617,15.7423601350071
"42",19.851,20.005175972513
"261",14.888,15.0018473983814
"269",12.204,14.0483146793991
"186",8.4323,8.82886780528688
"219",10.871,11.675941681659
"275",36.014,34.1407542704081
"262",13.789,14.8466563722819
"408",23.607,21.8748441308194
"447",23.199,21.6591336384836
"393",25.356,26.2190596651122
"229",7.4007,8.14050140237428
"141",28.188,27.0302399763418
"131",31.203,30.0297980208724
"103",25.241,24.176641957901
"199",19.148,19.2846604849381
"101",25.879,25.0465071765029
"3",15.74,16.2661110904681
"285",30.507,31.5901518725069
"442",23.753,22.6146613559648
"94",29.401,28.199467929619
"206",16.869,16.7825758381083
"326",12.868,12.2508803662488
"348",7.2544,7.42056746817942
"440",23.328,22.9454581681373
"330",11.881,11.3357373551613
"212",14.086,14.4410318119995
"243",19.214,18.9071115289923
"22",10.903,10.8888968508749
"466",17.666,16.9647785014341
"149",24.29,25.1426956331673
"124",31.399,32.3688508954709
"253",17.368,16.5308777148197
"244",19.026,18.6582365274832
"305",24.587,27.0857580875337
"57",13.914,14.0902440568035
"384",10.19,10.8911234207647
"152",22.869,24.5521737552956
"346",6.628,7.82154849692865
"331",11.679,11.1041221616727
"222",9.6809,10.5324436666719
"381",10.562,11.6139286380882
"256",16.587,15.8989731477689
"341",8.2566,8.87043590294035
"83",31.083,32.9178062927391
"30",7.6317,8.13729185007127
"176",13.3,12.3957981444894
"336",10.345,9.97396010748394
"89",31.827,30.4156101369303
"17",12.782,12.4610794848733
"399",25.184,24.667200003934
"458",17.414,19.07985577176
"360",18.553,18.1291062617157
"37",6.7488,5.58799185523177
"187",7.9784,8.48197190291445
"56",14.381,14.5100317604922
"434",23.487,23.7465533919028
"223",9.4344,10.158706480299
"292",29.199,29.8744358242675
"324",13.835,12.71317051328
"18",12.469,12.1634961699073
"180",12.119,10.9793023705724
"185",9.0091,9.190930548235
"382",11,11.3719304525681
"338",9.7399,9.52992059785741
"4",15.444,16.017014438825
"272",16.066,13.8487632323637
"126",31.192,31.6969167939394
"267",12.184,14.227397578389
"372",12.623,14.1483761303578
"370",13.945,14.7700307668882
"173",14.38,13.4544397496962
"266",12.876,14.3334637757904
"242",19.734,19.15530242879
"448",22.693,21.4455392105795
"450",21.612,21.0098926442158
"104",24.062,23.7574366772361
"147",25.317,25.5672772075846
"81",31.024,33.6891107277832
"259",15.79,15.3337428508339
"231",7.1727,7.54186185441723
"44",19.264,19.3062777869764
"217",11.596,12.4552577364382
"60",12.319,12.7881892704941
"49",17.179,17.4046276421565
"93",29.991,28.6378735929003
"377",10.865,12.6812212213919
"138",29.16,27.8650982576388
"65",10.098,10.6441739417767
"197",19.668,19.9367206619428
"460",16.237,18.5663033091464
"238",20.006,20.1114748584766
"437",23.596,23.3845491695167
"401",24.976,24.0889865550406
"183",10.403,9.90331765024915
"335",10.701,10.193165462834
"86",31.988,31.6959886631175
"314",14.977,15.1188874089611
"246",18.512,18.1704963990756
"188",7.5032,8.12296088475387
"374",11.683,13.5352515792968
"416",20.085,19.168643281798
"289",29.834,30.5965680454478
"340",8.675,9.08280178802487
"16",13.102,12.7657121013006
"14",13.682,13.3490984272418
"250",18.172,17.2145454921339
"205",17.109,17.149366181244
"313",15.433,15.3747658032801
"375",11.412,13.2485560185924
"111",20.383,20.9330919054854
"87",31.892,31.2695245938774
"457",17.945,19.3276326882059
"378",10.79,12.4015477391977
"286",30.448,31.3434845204708
"41",20.233,20.3361749022419
"43",19.65,19.6528046209721
"54",15.255,15.357579893925
"328",12.693,11.7919321496394
"107",22.009,22.5034033248161
"79",31.766,34.427287171089
"431",23.434,24.0256220526047
"168",15.373,15.194050199749
"122",31.652,33.050461216115
"441",23.746,22.7806428367667
"420",17.802,17.8198364054007
"301",26.115,27.8863264538332
"207",16.369,16.3962684729896
"67",9.0736,9.80286118572651
"23",10.754,10.5549484709178
"385",9.855,10.6710376067658
"1",16.062,16.744225240171
"13",14.115,13.6394376365771
"213",13.555,14.0528765026247
"321",14.158,13.4193672591952
"311",39.113,25.9354254714599
"140",28.563,27.2939725517176
"236",20.44,20.5725044626258
"436",23.288,23.5107216840486
"8",15.394,15.0028629168657
"228",7.8564,8.44559459176912
"35",6.5431,6.32045399578805
"125",31.226,32.0395770067264
"282",30.988,32.3580534569653
"364",17.084,16.7497860752337
"339",9.1867,9.30553753937753
"444",23.913,22.2469378755616
"189",6.3142,7.76626494084682
"445",23.787,22.0598914464527
"167",15.7,15.5449871556297
"130",31.706,30.3635639649466
"298",27.629,28.5194184541668
"297",27.66,28.7396272434694
"383",10.844,11.1276746109489
"145",26.233,26.0209839092907
"288",29.781,30.836661777015
"118",36.913,34.3578436961357
"413",21.399,20.17683820844
"392",25.674,26.4403387048135
"113",18.899,20.2082945625052
"172",14.54,13.8097025590994
"363",17.457,17.083484784149
"276",33.99,33.895538616095
"277",32.942,33.6385502063961
"227",8.2221,8.77401952544127
"281",31.14,32.6188442746912
"165",16.534,16.231849130329
"395",25.07,25.7401124964364
"295",28.291,29.1816014482355
"327",12.617,12.016532624805
"368",14.999,15.4098194660584
"148",24.642,25.3556176621514
"366",16.058,16.0658805658904
"237",20.348,20.3482764691386
"464",16.119,17.5028254123444
"362",17.765,17.4336560949368
